ID,Resume_str,Resume_html,Category,word_count,clean_text
10251,"Summary: Recognized for excellent communication and problem-solving abilities. Committed to continuous learning and professional development. Skilled at building strong relationships with stakeholders and clients. 12 years of experience in the Information Technology domain. Core skills: java, sql, aws, linux, rest api, kubernetes. Education: Bachelor's degree in Science. Additional experience includes team collaboration, reporting, and process improvement relevant to information technology roles.","<div class='resume'><p>Summary: Recognized for excellent communication and problem-solving abilities. Committed to continuous learning and professional development. Skilled at building strong relationships with stakeholders and clients. 12 years of experience in the Information Technology domain. Core skills: java, sql, aws, linux, rest api, kubernetes. Education: Bachelor's degree in Science. Additional experience includes team collaboration, reporting, and process improvement relevant to information technology roles.</p></div>",INFORMATION-TECHNOLOGY,61,summary recognized excellent communication problem solving abilities committed continuous learning professional development skilled building strong relationships stakeholders clients years experience information technology domain core skills java sql aws linux rest api kubernetes education bachelor degree science additional experience includes team collaboration reporting process improvement relevant information technology roles
12313,"Summary: Committed to continuous learning and professional development. Known for attention to detail and consistent delivery of high-quality work. Recognized for excellent communication and problem-solving abilities. 4 years of experience in the Aviation domain. Core skills: aviation safety, air traffic coordination, aircraft maintenance, flight operations, regulatory compliance. Education: Bachelor's degree in Science. Additional experience includes team collaboration, reporting, and process improvement relevant to aviation roles.","<div class='resume'><p>Summary: Committed to continuous learning and professional development. Known for attention to detail and consistent delivery of high-quality work. Recognized for excellent communication and problem-solving abilities. 4 years of experience in the Aviation domain. Core skills: aviation safety, air traffic coordination, aircraft maintenance, flight operations, regulatory compliance. Education: Bachelor's degree in Science. Additional experience includes team collaboration, reporting, and process improvement relevant to aviation roles.</p></div>",AVIATION,65,summary committed continuous learning professional development known attention detail consistent delivery high quality work recognized excellent communication problem solving abilities years experience aviation domain core skills aviation safety air traffic coordination aircraft maintenance flight operations regulatory compliance education bachelor degree science additional experience includes team collaboration reporting process improvement relevant aviation roles
11720,"Summary: Recognized for excellent communication and problem-solving abilities. Experienced in leading projects from initiation through successful completion. Results-driven professional with proven experience delivering measurable outcomes. 2 years of experience in the Engineering domain. Core skills: matlab, project management, structural analysis, cad, quality control. Education: Bachelor's degree in Computer Science. Additional experience includes team collaboration, reporting, and process improvement relevant to engineering roles.","<div class='resume'><p>Summary: Recognized for excellent communication and problem-solving abilities. Experienced in leading projects from initiation through successful completion. Results-driven professional with proven experience delivering measurable outcomes. 2 years of experience in the Engineering domain. Core skills: matlab, project management, structural analysis, cad, quality control. Education: Bachelor's degree in Computer Science. Additional experience includes team collaboration, reporting, and process improvement relevant to engineering roles.</p></div>",ENGINEERING,62,summary recognized excellent communication problem solving abilities experienced leading projects initiation successful completion results driven professional proven experience delivering measurable outcomes years experience engineering domain core skills matlab project management structural analysis cad quality control education bachelor degree computer science additional experience includes team collaboration reporting process improvement relevant engineering roles
12188,"Summary: Results-driven professional with proven experience delivering measurable outcomes. Skilled at building strong relationships with stakeholders and clients. Recognized for excellent communication and problem-solving abilities. 1 years of experience in the Banking domain. Core skills: risk assessment, kyc, compliance, customer onboarding, special education, communication. Education: Associate degree in Computer Science. Additional experience includes team collaboration, reporting, and process improvement relevant to banking roles.","<div class='resume'><p>Summary: Results-driven professional with proven experience delivering measurable outcomes. Skilled at building strong relationships with stakeholders and clients. Recognized for excellent communication and problem-solving abilities. 1 years of experience in the Banking domain. Core skills: risk assessment, kyc, compliance, customer onboarding, special education, communication. Education: Associate degree in Computer Science. Additional experience includes team collaboration, reporting, and process improvement relevant to banking roles.</p></div>",BANKING,63,summary results driven professional proven experience delivering measurable outcomes skilled building strong relationships stakeholders clients recognized excellent communication problem solving abilities years experience banking domain core skills risk assessment kyc compliance customer onboarding special education communication education associate degree computer science additional experience includes team collaboration reporting process improvement relevant banking roles
11992,"Summary: Known for attention to detail and consistent delivery of high-quality work. Results-driven professional with proven experience delivering measurable outcomes. Strong track record of collaborating with cross-functional teams to achieve goals. 11 years of experience in the Construction domain. Core skills: project scheduling, site safety, cost estimation, blueprint reading, equipment operation. Education: Bachelor's degree in Computer Science. Additional experience includes team collaboration, reporting, and process improvement relevant to construction roles.","<div class='resume'><p>Summary: Known for attention to detail and consistent delivery of high-quality work. Results-driven professional with proven experience delivering measurable outcomes. Strong track record of collaborating with cross-functional teams to achieve goals. 11 years of experience in the Construction domain. Core skills: project scheduling, site safety, cost estimation, blueprint reading, equipment operation. Education: Bachelor's degree in Computer Science. Additional experience includes team collaboration, reporting, and process improvement relevant to construction roles.</p></div>",CONSTRUCTION,70,summary known attention detail consistent delivery high quality work results driven professional proven experience delivering measurable outcomes strong track record collaborating cross functional teams achieve goals years experience construction domain core skills project scheduling site safety cost estimation blueprint reading equipment operation education bachelor degree computer science additional experience includes team collaboration reporting process improvement relevant construction roles
10899,"Summary: Skilled at building strong relationships with stakeholders and clients. Strong track record of collaborating with cross-functional teams to achieve goals. Known for attention to detail and consistent delivery of high-quality work. 2 years of experience in the Agriculture domain. Core skills: soil analysis, farm equipment operation, pest control. Education: Diploma in Computer Science. Additional experience includes team collaboration, reporting, and process improvement relevant to agriculture roles.","<div class='resume'><p>Summary: Skilled at building strong relationships with stakeholders and clients. Strong track record of collaborating with cross-functional teams to achieve goals. Known for attention to detail and consistent delivery of high-quality work. 2 years of experience in the Agriculture domain. Core skills: soil analysis, farm equipment operation, pest control. Education: Diploma in Computer Science. Additional experience includes team collaboration, reporting, and process improvement relevant to agriculture roles.</p></div>",AGRICULTURE,67,summary skilled building strong relationships stakeholders clients strong track record collaborating cross functional teams achieve goals known attention detail consistent delivery high quality work years experience agriculture domain core skills soil analysis farm equipment operation pest control education diploma computer science additional experience includes team collaboration reporting process improvement relevant agriculture roles
10253,"Summary: Adept at managing multiple priorities in fast-paced environments. Skilled at building strong relationships with stakeholders and clients. Experienced in leading projects from initiation through successful completion. 10 years of experience in the Information Technology domain. Core skills: java, git, python, rest api, networking, sql, docker, fashion design, textile knowledge. Education: Master's degree in Science. Additional experience includes team collaboration, reporting, and process improvement relevant to information technology roles.","<div class='resume'><p>Summary: Adept at managing multiple priorities in fast-paced environments. Skilled at building strong relationships with stakeholders and clients. Experienced in leading projects from initiation through successful completion. 10 years of experience in the Information Technology domain. Core skills: java, git, python, rest api, networking, sql, docker, fashion design, textile knowledge. Education: Master's degree in Science. Additional experience includes team collaboration, reporting, and process improvement relevant to information technology roles.</p></div>",INFORMATION-TECHNOLOGY,69,summary adept managing multiple priorities fast paced environments skilled building strong relationships stakeholders clients experienced leading projects initiation successful completion years experience information technology domain core skills java git python rest api networking sql docker fashion design textile knowledge education master degree science additional experience includes team collaboration reporting process improvement relevant information technology roles
11856,"Summary: Strong track record of collaborating with cross-functional teams to achieve goals. Committed to continuous learning and professional development. Skilled at building strong relationships with stakeholders and clients. 6 years of experience in the Accountant domain. Core skills: gaap, tax preparation, bookkeeping, accounts reconciliation, quickbooks, market research, sales strategy. Education: Bachelor's degree in Science. Additional experience includes team collaboration, reporting, and process improvement relevant to accountant roles.","<div class='resume'><p>Summary: Strong track record of collaborating with cross-functional teams to achieve goals. Committed to continuous learning and professional development. Skilled at building strong relationships with stakeholders and clients. 6 years of experience in the Accountant domain. Core skills: gaap, tax preparation, bookkeeping, accounts reconciliation, quickbooks, market research, sales strategy. Education: Bachelor's degree in Science. Additional experience includes team collaboration, reporting, and process improvement relevant to accountant roles.</p></div>",ACCOUNTANT,67,summary strong track record collaborating cross functional teams achieve goals committed continuous learning professional development skilled building strong relationships stakeholders clients years experience accountant domain core skills gaap tax preparation bookkeeping accounts reconciliation quickbooks market research sales strategy education bachelor degree science additional experience includes team collaboration reporting process improvement relevant accountant roles
12172,"Summary: Skilled at building strong relationships with stakeholders and clients. Recognized for excellent communication and problem-solving abilities. Known for attention to detail and consistent delivery of high-quality work. 12 years of experience in the Banking domain. Core skills: financial products, loan processing, risk assessment, kyc. Education: Master's degree in Commerce. Additional experience includes team collaboration, reporting, and process improvement relevant to banking roles.","<div class='resume'><p>Summary: Skilled at building strong relationships with stakeholders and clients. Recognized for excellent communication and problem-solving abilities. Known for attention to detail and consistent delivery of high-quality work. 12 years of experience in the Banking domain. Core skills: financial products, loan processing, risk assessment, kyc. Education: Master's degree in Commerce. Additional experience includes team collaboration, reporting, and process improvement relevant to banking roles.</p></div>",BANKING,63,summary skilled building strong relationships stakeholders clients recognized excellent communication problem solving abilities known attention detail consistent delivery high quality work years experience banking domain core skills financial products loan processing risk assessment kyc education master degree commerce additional experience includes team collaboration reporting process improvement relevant banking roles
12034,"Summary: Committed to continuous learning and professional development. Known for attention to detail and consistent delivery of high-quality work. Results-driven professional with proven experience delivering measurable outcomes. 8 years of experience in the Public Relations domain. Core skills: brand messaging, crisis communication, press releases, media relations. Education: Associate degree in Management. Additional experience includes team collaboration, reporting, and process improvement relevant to public relations roles.","<div class='resume'><p>Summary: Committed to continuous learning and professional development. Known for attention to detail and consistent delivery of high-quality work. Results-driven professional with proven experience delivering measurable outcomes. 8 years of experience in the Public Relations domain. Core skills: brand messaging, crisis communication, press releases, media relations. Education: Associate degree in Management. Additional experience includes team collaboration, reporting, and process improvement relevant to public relations roles.</p></div>",PUBLIC-RELATIONS,65,summary committed continuous learning professional development known attention detail consistent delivery high quality work results driven professional proven experience delivering measurable outcomes years experience public relations domain core skills brand messaging crisis communication press releases media relations education associate degree management additional experience includes team collaboration reporting process improvement relevant public relations roles
